            1024           0.0078            0.134            1.604
            2048           0.0156            0.330            3.957
            4096           0.0312            0.668            8.014
            8192           0.0625            1.327           15.920
           16384           0.1250            2.527           30.324
           32768           0.2500            4.996           59.957
           65536           0.5000            9.710          116.520
          131072           1.0000           17.722          212.670
          262144           2.0000           30.591          367.090
          524288           4.0000           46.996          563.951
         1048576           8.0000           64.726          776.715
         2097152          16.0000           83.638         1003.652
         4194304          32.0000           94.672         1136.059
         8388608          64.0000          101.976         1223.715
        16777216         128.0000          105.902         1270.823
        33554432         256.0000          108.265         1299.184
        67108864         512.0000          109.070         1308.836
       134217728        1024.0000          109.855         1318.261
       268435456        2048.0000          110.048         1320.579
       536870912        4096.0000          110.141         1321.691
      1073741824        8192.0000          110.217         1322.608
